KSTRANA,VSTRANA,NAZEVCELK
1,53,Občanská demokratická strana
2,769,Řád národa - Vlastenecká unie
3,1177,CESTA ODPOVĚDNÉ SPOLEČNOSTI
4,7,Česká strana sociálně demokratická
5,98,Volte Pravý Blok-stranu za ODVOLAT.polit.,NÍZKÉ daně,VYROVN.rozp.,MIN.byrokr.,SPRAV.just.,PŘÍMOU demokr. WWW.CIBULKA.NET
6,1184,Radostné Česko
7,166,STAROSTOVÉ A NEZÁVISLÍ
8,47,Komunistická strana Čech a Moravy
9,5,Strana zelených
10,137,ROZUMNÍ - stop migraci a diktátu EU - peníze našim občanům, důchodcům, dětem, zdravotně postiženým...
11,1041,Společnost proti developerské výstavbě v Prokopském údolí
12,714,Strana svobodných občanů
13,155,Blok proti islamizaci - Obrana domova
14,1173,Občanská demokratická aliance
15,720,Česká pirátská strana
16,762,OBČANÉ 2011-SPRAVEDLNOST PRO LIDI
17,1183,Unie Hrdosti, Aktivity, Vlastenectví, Empatie a Lidskosti 2017
18,1120,Česká národní fronta
19,1178,Referendum o Evropské unii
20,721,TOP 09
21,768,ANO 2011
22,1127,Dobrá volba 2016
23,1125,Sdružení pro republiku - Republikánská strana Československa Miroslava Sládka
24,1,Křesťanská a demokratická unie - Československá strana lidová
25,2,Česká strana národně sociální
26,1176,REALISTÉ
27,1182,SPORTOVCI
28,156,Dělnická strana sociální spravedlnosti
29,1114,Svoboda a přímá demokracie - Tomio Okamura (SPD)
30,724,Strana Práv Občanů
31,1116,Národ Sobě
