KRAJ;OKRES;CPOU;ORP;OBEC;NAZEVOBCE;VOLKRAJ;MINOKRSEK1;MAXOKRSEK1;OBEC_PREZ
7200;7204;662;7213;500011;"éelechovice nad D¯evnicÌ";13;1;3;500011
7100;7105;860;7111;500020;"Petrov nad Desnou";12;1;2;500020
8100;8104;792;8115;500046;"Libhoöù";14;1;1;500046
1100;1100;1;1000;500054;"Praha 1";1;1001;1021;554782
7200;7203;871;7210;500062;"Krhov·";13;1;1;500062
7200;7203;871;7210;500071;"PoliËn·";13;1;1;500071
1100;1100;2;1000;500089;"Praha 2";1;2001;2045;554782
1100;1100;3;1000;500097;"Praha 3";1;3001;3051;554782
4100;4102;308;4103;500101;"Braûec";5;1;1;500101
1100;1100;4;1000;500119;"Praha 4";1;4001;4132;554782
4100;4102;310;4106;500127;"DoupovskÈ HradiötÏ";5;1;1;500127
7100;7102;803;7107;500135;"Kozlov";12;1;2;500135
1100;1100;11;1000;500143;"Praha 5";1;5001;5081;554782
7100;7104;848;7101;500151;"LubomÏ¯ pod Str·ûnou";12;1;1;500151
7100;7102;804;7110;500160;"MÏsto Libav·";12;1;2;500160
1100;1100;21;1000;500178;"Praha 6";1;6001;6104;554782
1100;1100;27;1000;500186;"Praha 7";1;7001;7036;554782
3100;3102;225;3103;500194;"Poln· na äumavÏ";3;1;1;500194
1100;1100;29;1000;500208;"Praha 8";1;8001;8108;554782
1100;1100;33;1000;500216;"Praha 9";1;9001;9041;554782
1100;1100;46;1000;500224;"Praha 10";1;10001;10109;554782
8100;8104;789;8105;500259;"Ve¯ovice";14;1;1;500259
8100;8106;844;8119;500291;"V¯esina";14;1;3;500291
7100;7102;803;7107;500496;"Olomouc";12;1;95;500496
7100;7102;803;7107;500526;"BÏlkovice-Laöùany";12;1;1;500526
7100;7102;802;7105;500623;"BÌl· Lhota";12;1;7;500623
7100;7102;803;7107;500801;"Blatec";12;1;1;500801
7100;7102;803;7107;500852;"BohuÚovice";12;1;1;500852
7100;7102;802;7105;500861;"Bouzov";12;1;9;500861
7100;7102;803;7107;500879;"BystroËice";12;1;1;500879
4200;4207;462;4214;501298;"⁄stÌ nad Labem-SevernÌ Terasa";6;3001;3020;554804
7100;7102;805;7112;501476;"Dlouh· LouËka";12;1;3;501476
7100;7102;803;7107;501646;"Dolany";12;1;3;501646
7100;7102;803;7107;501751;"Drahanovice";12;1;4;501751
7100;7102;803;7107;501794;"Dub nad Moravou";12;1;1;501794
7100;7102;803;7107;501841;"Grygov";12;1;1;501841
4200;4207;462;4214;502081;"⁄stÌ nad Labem-NeötÏmice";6;2001;2021;554804
7100;7102;801;7107;502146;"HluboËky";12;1;4;502146
7100;7102;803;7107;502235;"HnÏvotÌn";12;1;1;502235
4200;4207;462;4214;502316;"⁄stÌ nad Labem-St¯ekov";6;4001;4017;554804
7100;7102;804;7110;502405;"Hnojice";12;1;1;502405
7100;7102;803;7107;502545;"Horka nad Moravou";12;1;2;502545
7100;7102;802;7105;502839;"Cholina";12;1;1;502839
7100;7102;804;7110;503142;"JÌvov·";12;1;1;503142
